Michael Corner, @edgesncorners
Dean Thomas, @magic_dean
Sue Li, @sureli
Neville Longbottom, +44123456789
Dennis Creevey, @potterfan82
Demelza Robins, dem@magic.com
Susan Bones, sbones@minimagic.gov.uk
Lisa Turpin, lisa@turpins.co.uk
Seamus Finnigan, seamus@magicpyro.co.uk
Natalie McDonald, nathalie@hogwarts.edu.uk
Justin Finch-Fletchley, jff@magic.net
George Weasley, george@wwwheezes.co.uk
Draco Malfoy, drago@exit-deatheating.org.uk
Mandy Brocklehurst, mandy@potionsnow.co.uk
Millicent Bullstrode, @bulls_hit
Tracey Davis, tdavis@minimagic.co.uk
Ron Weasley, ron@hogwarts.net
Penelope Clearwater, pclearwater@minimagic.gov.uk
Parvati Patil, parvati@witchnwizzard.net
Zacharias Smith, zachsmith@hogwarts.edu.uk
Angelina Johnson, @angel_jo
Romilda Vane, romilda@hogwarts.com
Colin Creevey, 00 44 67 23456789
Lee Jordan, lee@quidditch24.co.uk
Ritchie Coote, ritchie@hogwarts.edu.uk
Jack Sloper, jack@hogwarts.edu.uk
Katie Bell, katie@hogwarts.edu.uk
Hannah Abbott, h.abbott@minimagic.gov.uk
Luna Lovegood, @quibbler_official
Wayne Hopkins, @wayne_interessierts
Mary Macdonald, mary@magic.net
Ginny Weasley, ginny@hogwarts.edu.uk
Oliver Rivers, oliver@wand24.co.uk
Roger Malone, @rogernout
Anthony Goldstein, @goldenant
Harry Potter, harry@hogwarts.edu.uk
Megan Jones, @mega_hones
Oliver Wood, oliver@quidditch24.co.uk
Andrew Kirke, andrew@hogwarts.edu.uk
Victor Krumm, +359 15587232
Hermione Granger, hermione@hogwarts.edu.uk
Stephen Cornfoot, cfoot@hogwarts.edu.uk
Theodore Nott, @not_theodore
Jimmy Peakes, +44189 678 90
Cho Chang, +44 16789944
Cormac McLaggen, cormac@magic.net
Padma Patil, @padma_divinations
Daphne Greengrass, d.greengrass@daily-prohet.co.uk
Lavender Brown, +44 915 78 78 78
Pansy Parkinson, p.parkinson@daily-prohet.co.uk
Euan Abercrombie, euan@hogwarts.edu.uk
Blaise Zabini, @blaise_it
Ernie Macmillan, @mc_ernie
Terry Boot, terry@squibb-bootcamp.co.uk
Marietta Edgecombe, +44 1244766
Fleur Delacour, +33 4599121
Morag McDougal, @moragman
Percy Weasley, @percy
Alicia Spinnet, alicia@magic.com
Kevin Entwhistle, @kwhistle
